point_id,associated_feature,point_type,lat,lon,elevation_dem_m
DEM001,apartment1,edge_sample,18.67103764,73.89061365,559.54
DEM002,apartment1,edge_sample,18.67102595,73.89068859,559.92
DEM003,apartment1,edge_sample,18.67108217,73.89067117,559.57
DEM004,apartment1,edge_sample,18.67109967,73.89059068,559.68
DEM005,block1,edge_sample,18.67162942,73.89090329,558.74
DEM006,block1,edge_sample,18.67165918,73.8907729,558.6
DEM007,block1,edge_sample,18.67154521,73.89080315,558.73
DEM008,block1,edge_sample,18.67151791,73.89093748,559.27
DEM009,block2,edge_sample,18.67144027,73.89082396,559.31
DEM010,block2,edge_sample,18.67144025,73.89089741,559.37
DEM011,block2,edge_sample,18.67150558,73.89088405,558.96
DEM012,block2,edge_sample,18.67149654,73.89080989,559.23
DEM013,block3,edge_sample,18.67136003,73.89085695,559.02
DEM014,block3,edge_sample,18.6714355,73.8908338,559.14
DEM015,block3,edge_sample,18.67140795,73.8907582,558.96
DEM016,block3,edge_sample,18.67132969,73.89077824,559.43
DEM017,block4,edge_sample,18.67120378,73.89073043,559.7
DEM018,block4,edge_sample,18.67124966,73.89081533,559.28
DEM019,block4,edge_sample,18.67132625,73.89078522,559.5
DEM020,block4,edge_sample,18.67128481,73.89070045,559.12
DEM021,block5,edge_sample,18.67128207,73.890646,559.4
DEM022,block5,edge_sample,18.67130953,73.8907114,559.22
DEM023,block5,edge_sample,18.67137619,73.89068894,558.89
DEM024,block5,edge_sample,18.67134538,73.8906253,559.16
DEM025,block6,edge_sample,18.67094183,73.89058937,559.97
DEM026,block6,edge_sample,18.67095924,73.89066214,560.07
DEM027,block6,edge_sample,18.67103068,73.89062578,559.73
DEM028,block6,edge_sample,18.67101267,73.89055653,559.94
DEM029,block7,edge_sample,18.67087878,73.89055357,559.97
DEM030,block7,edge_sample,18.67087877,73.89062713,560.22
DEM031,block7,edge_sample,18.67093266,73.89060879,559.62
DEM032,block7,edge_sample,18.67093656,73.890535,559.7
DEM033,block8,edge_sample,18.67079096,73.89072144,560.02
DEM034,block8,edge_sample,18.67089171,73.89077454,560.41
DEM035,block8,edge_sample,18.67095707,73.8907454,560.13
DEM036,block8,edge_sample,18.67085742,73.89069646,559.87
DEM037,block9,edge_sample,18.6709435,73.89080629,560.04
DEM038,block9,edge_sample,18.67091766,73.89092481,560.22
DEM039,block9,edge_sample,18.67099408,73.89088424,560.08
DEM040,block9,edge_sample,18.67101283,73.89077659,559.92
DEM041,block10,edge_sample,18.67101888,73.8909818,559.79
DEM042,block10,edge_sample,18.67105792,73.89088277,559.67
DEM043,block10,edge_sample,18.67104342,73.89079464,559.7
DEM044,block10,edge_sample,18.67099606,73.89088885,559.9
