name,type,floors,num_vertices,coordinates_lat_lon
apartment1,Polygon,use floor plan,5,"18.67105747518837,73.89057196971277; 18.671007313266,73.89067735250644; 18.67106667510083,73.89071315823728; 18.6711101588053,73.89059533121382; 18.67105747518837,73.89057196971277"
block1,Polygon,1,5,"18.67159084314972,73.89097641548567; 18.67169044530238,73.89078759835414; 18.671578232225,73.8907348251544; 18.67148801281472,73.89092151064067; 18.67159084314972,73.89097641548567"
block2,Polygon,1,5,"18.6714592821037,73.89078045051654; 18.67141403532096,73.89088400412162; 18.67148771373958,73.89092168876269; 18.67152872678744,73.89083531542155; 18.6714592821037,73.89078045051654"
block3,Polygon,1,5,"18.67130879917325,73.89083149534751; 18.67141378529766,73.89088366563747; 18.67145904330818,73.89077972388546; 18.67134754017361,73.8907327533374; 18.67130879917325,73.89083149534751"
block4,Polygon,1,5,"18.67122821369362,73.8906719757193; 18.67118410348747,73.89077752012811; 18.67130298821569,73.8908460824383; 18.67134673619445,73.89073160703209; 18.67122821369362,73.8906719757193"
block5,Polygon,1,5,"18.6713025377814,73.89060142063579; 18.671262947257,73.89068763881336; 18.67135209643304,73.89073310906531; 18.67139563003013,73.89065330965923; 18.6713025377814,73.89060142063579"
block6,Polygon,2,5,"18.67096187941067,73.89053978619671; 18.67091804183912,73.89064821245445; 18.67100589867536,73.89067790133754; 18.67105669681639,73.89057104135308; 18.67096187941067,73.89053978619671"
block7,Polygon,2,5,"18.67089721886257,73.89051178673287; 18.67085414768388,73.89060937176954; 18.67091421477539,73.89065270959884; 18.6709582684347,73.89054780724008; 18.67089721886257,73.89051178673287"
block8,Polygon,1,5,"18.67080556493096,73.8906729398055; 18.67078462837036,73.89071810493681; 18.67094154758403,73.89080081059815; 18.6709579941236,73.89074208773681; 18.67080556493096,73.8906729398055"
block9,Polygon,1,5,"18.67095866284243,73.89074590405293; 18.67091411308755,73.89092332363876; 18.6709706533739,73.89094705263983; 18.6710305022954,73.89078659928904; 18.67095866284243,73.89074590405293"
block10,Polygon,1,5,"18.67097540183394,73.89094319791401; 18.67102424732279,73.89098655595646; 18.67108108931697,73.89081136525066; 18.67103354632955,73.89079025577762; 18.67097540183394,73.89094319791401"
block11,Polygon,1,5,"18.6710596193432,73.89088218822098; 18.6711065456136,73.89090793086571; 18.6711152037151,73.89085377892965; 18.67107651837618,73.89083412989375; 18.6710596193432,73.89088218822098"
block12,Polygon,1,5,"18.67110770937046,73.89091369198489; 18.6711444768051,73.89092165233336; 18.67116168212596,73.8908676207167; 18.67112076043509,73.8908432820219; 18.67110770937046,73.89091369198489"
block13,Polygon,1,5,"18.67125136847619,73.89091447504434; 18.67116385273478,73.89087682506884; 18.67112579680672,73.891014942624; 18.67120744983031,73.89105250266742; 18.67125136847619,73.89091447504434"
apartment2,Polygon,use floor plan,5,"18.67123213987404,73.89110819364747; 18.67146652491543,73.89123817053924; 18.67154220782934,73.89107075178543; 18.6713055660928,73.8909306120462; 18.67123213987404,73.89110819364747"
apartment/shop+underground,Polygon,use floor plan,5,"18.67145664693402,73.89123725132556; 18.67122900874874,73.89111246115397; 18.6711799755488,73.89123062669069; 18.67139588492409,73.89136747632625; 18.67145664693402,73.89123725132556"
block14,Polygon,3,5,"18.67114688360575,73.89092850317185; 18.67110901115613,73.89091894747901; 18.67100969704714,73.89118178986233; 18.67106004977165,73.89120440073216; 18.67114688360575,73.89092850317185"
block15,Polygon,2,5,"18.67110656348698,73.89091454524359; 18.67106698585701,73.89089107367985; 18.6710044412799,73.89104275513037; 18.67105181540567,73.89106351702677; 18.67110656348698,73.89091454524359"
road1,LineString,,2,"18.67082153839996,73.89063797207723; 18.67157206656533,73.89101850531112"
path2,LineString,,2,"18.67186184005072,73.8905999564209; 18.67145535864867,73.89147715642292"
emptyspace1,Polygon,,7,"18.67107815896292,73.89070099739322; 18.67118067322525,73.89076137679395; 18.67122625244006,73.89065335154638; 18.67125835064424,73.89067413487902; 18.67129463528701,73.89059845953015; 18.67114116053697,73.89050302742764; 18.67107815896292,73.89070099739322"
emptyspace2,Polygon,,5,"18.67125829548071,73.89090918398897; 18.67115184169071,73.89119516348396; 18.67117755073934,73.89120640510127; 18.67129634554768,73.89093284846771; 18.67125829548071,73.89090918398897"
